First Name,Last Name,Hash ID,Counselor Name,High School,School CEEB Code,Rank,NPC,Predicted_Probabilty
Jacob,Yaste,2YZ33,Scarlett Barnes,Cuba Middle Senior HS,141520,1,No,0.990480125
Ethan,Atakoussok,AQjNG,Scarlett Barnes,Bob Jones HS,11697,2,No,0.988657296
Kelis,Anthony,GKPzq,Lainie Cockrum,Sylvan Hills High School,41872,3,No,0.986341536
Alivia,Reeves,ygRdZ,Kiara  Sims,Sheridan High School,42265,4,No,0.986228108
Mason,Morales,REzpn,Kiara  Sims,Walnut Valley Christian Acad,41453,5,No,0.984847069
Carson,Schmitz,M44MR,Tommy Newton,Coram Deo Academy,442436,6,No,0.984602213
Camden,Kopsick,4zDdM,Scarlett Barnes,Northside High School,110838,7,No,0.984089494
Serenity,Bagley,z7bPq,Charles Fancyboy,Lake Hamilton High School,41155,8,No,0.983623743
Isaiah,Seabron,RqXGn,Scarlett Barnes,Norview HS,471620,9,No,0.9798733
Nash,Nichols,a29A7,Tommy Newton,Waxahachie High School,447382,10,No,0.979358375
Anna,Johnson,Nbjyj,Kiara  Sims,Bauxite High School,40125,11,No,0.975878775
Savannah,Ward,KbA5Y,Lainie Cockrum,Salem High School,42215,12,No,0.97560662
Eli,Sharp,AQ4Mz,Tommy Newton,Dierks High School,40640,13,No,0.975543201
Degdreonna,Snead,qpyEg,Shelby LeGardye,Blytheville High School,40240,14,No,0.974171937
Emily,Gray,kkR2v,Samantha Long,Arundel Senior HS,210570,15,No,0.974123716
Andrew,Hill,AQdYq,Tommy Newton,Dierks High School,40640,16,No,0.973891318
Ian,Smith,xRbbq,Kiara  Sims,Bismarck High School,40210,16,No,0.973891318
Rowan,Pringle,Z4GAK,Shelby LeGardye,Academies At Jonesboro High School,41270,18,No,0.973287582
Braden,Mccanless,GqR77,Shelby LeGardye,Crockett County High School,430005,19,No,0.970346987
Aiden,Smith,Z73Yd,Kiara  Sims,Blue Springs South HS,260241,20,Yes,0.970051765
Jose,Garcia,bNya4,Tommy Newton,Warren Senior High School,42585,21,No,0.968634605
Evan,East,ZNd39,Kiara  Sims,Fountain Lake Charter High School,41144,22,No,0.967415214
Ella,Wydemon,kEXZa,Scarlett Barnes,Victory Christian School,12113,23,No,0.967019618
Kaelynn,White,Rq3pG,Shelby LeGardye,Academies At Jonesboro High School,41270,24,No,0.96522063
Braxton,Byers,AQV5P,Kiara  Sims,Mansfield High School,41540,25,No,0.963887095
Owen,Wyatt,nAyvA,Tommy Newton,Mansfield High School,444460,26,No,0.962987483
Averie,Stokes,g9jR3,Shelby LeGardye,Greene County Tech High School,41950,27,No,0.962315619
Max,Wilson,GqyPK,Cade Archer,Arkadelphia High School,40035,28,No,0.961624682
David,White,Nkjqv,Kiara  Sims,Brother Martin High School,192015,29,No,0.9611485
Dylan,Hart,D5v4V,Tommy Newton,Bismarck High School,40210,30,No,0.959721923
Jocelyn,Walters,MnMNk,Tommy Newton,Burleson High School,441020,31,No,0.958746076
Brady,Kennedy,d47EY,Scarlett Barnes,Coronado HS,290069,32,No,0.957633078
Mason,Lay,jqRZj,Kiara  Sims,North County High School,260845,33,No,0.956939578
Jonathan,Toma,vYyPK,Kiara  Sims,Lake Hamilton High School,41155,34,No,0.955512106
Nathan,Reithemeyer,yyGKX,Shelby LeGardye,Evangelical Christian School,430453,35,No,0.951797247
Vanessa,Mendoza,V7M53,Kiara  Sims,Bauxite High School,40125,36,No,0.950804651
Jayce,Moore,qp9Xp,Tommy Newton,Prescott High School,42120,37,No,0.950559735
Silas,Leaver,5y3xD,Lainie Cockrum,Cabot High School,40320,38,No,0.94232738
Brynley,Delancey,d49Za,Shelby LeGardye,Houston High School,430758,39,No,0.927076101
Logan,Bannister,2YQj4,Lainie Cockrum,Rose Bud High School,42180,40,No,0.926359653
Amerah,Hamrick,aYQDV,Shelby LeGardye,Chuckey Doak High School,430003,41,No,0.924635231
Caroline,Floyd,MaPx7,Shelby LeGardye,Arlington High School,430042,41,No,0.924635231
Gianna,Delisio,NkPyR,Shelby LeGardye,Brighton High School,430165,41,No,0.924635231
Savannah,Hancock,zb35x,Shelby LeGardye,Munford High School,431615,41,No,0.924635231
